"","gene.id","radius","size","observed.tau_b","p.Decay","observed.cor","p.Sphere","p.Fisher","time"
"5101","TMOD1",5,434,-0.135283582231592,0.000999000999000999,0,1,0.00790085392538984,1.22188091278076
"491","FAM13A",4,417,-0.129626025562221,0.000999000999000999,0,1,0.00790085392538984,1.38692712783813
"492","GMIP",4,417,-0.134896871046075,0.000999000999000999,0,1,0.00790085392538984,1.41243386268616
"493","DEPDC1B",4,417,-0.130974381383672,0.000999000999000999,0,1,0.00790085392538984,1.21342396736145
"494","ARHGAP20",4,417,-0.132919537036266,0.000999000999000999,0,1,0.00790085392538984,1.45953321456909
"495","ARHGAP19",4,417,-0.134988804397538,0.000999000999000999,0,1,0.00790085392538984,1.22755694389343
"371","ARHGAP11A",3,335,-0.141167700485748,0.000999000999000999,0,1,0.00790085392538984,1.39087700843811
"5102","S100B",5,437,-0.0822225276523043,0.01,0,1,0.0560517018598809,1.24373197555542
"649","MME",6,436,-0.0765961010311504,0.023,0,1,0.109762004450219,1.36437487602234
"650","CTHRC1",6,436,-0.0676122164944969,0.031,0,1,0.138686810309407,1.36556506156921
"5103","E2F7",5,434,-0.104286501640865,0.002,0,1,0.0144292161968444,1.23277306556702
"496","ADHFE1",4,77,0.0424262371665836,0.616,0,1,0.914457122316348,1.23653697967529
"74","NPHP3",7,435,-0.0997966735641421,0.004,0,1,0.026085843671449,1.05952095985413
"5104","PPM1F",5,432,-0.0796543428054443,0.014,0,1,0.0737617712911363,1.3056960105896
"651","ITIH2",6,437,-0.0922790160566526,0.008,0,1,0.0466265098984184,1.38898587226868
"652","MMP11",6,437,-0.0815383556867032,0.016,0,1,0.0821626649078777,1.20032596588135
"497","PTN",4,410,-0.18799189799073,0.000999000999000999,0,1,0.00790085392538984,1.37131214141846
"653","PNMA8B",6,436,-0.0026331384459493,0.484,0,1,0.835224460176505,1.14916610717773
"5105","ABCB1",5,436,-0.110493030159813,0.001,0,1,0.00790775527898214,1.38005208969116
"5106","TRIM59",5,436,-0.0141514931907362,0.356,0,1,0.723685539134318,1.39433288574219
"654","SLCO1A2",6,437,-0.0548879935620244,0.066,0,1,0.245394635439077,1.14317107200623
"498","KIRREL1",4,420,-0.130542904946748,0.000999000999000999,0,1,0.00790085392538984,1.39067220687866
"655","ARL6IP1",6,434,-0.081386216060318,0.009,0,1,0.0513947763148133,1.15526700019836
"5107","RBFOX2",5,433,-0.0197922602497563,0.301,0,1,0.662394149284212,1.54210495948792
"656","GFAP",6,437,-0.0252526176741606,0.253,0,1,0.600714544934418,1.32252788543701
"499","FXYD1",4,417,-0.153436077277171,0.000999000999000999,0,1,0.00790085392538984,1.60552597045898
"5108","SLC16A3",5,421,-0.161203116983515,0.000999000999000999,0,1,0.00790085392538984,1.42706179618835
"75","ADGRL3",7,436,-0.0404063066616844,0.124,0,1,0.38284674045876,1.12677907943726
"657","SCARA5",6,436,-0.0384607782740902,0.151,0,1,0.436461791767249,1.29190707206726
"4100","BMX",4,420,-0.109798400629241,0.000999000999000999,0,1,0.00790085392538984,1.24115204811096
"5109","KCNJ16",5,433,-0.111185295623243,0.001,0,1,0.00790775527898214,1.39113998413086
"372","HAP1",3,44,-0.203607505210288,0.037,0,1,0.158982982554503,1.35337591171265
"5110","WDFY2",5,433,-0.11709188341474,0.000999000999000999,0,1,0.00790085392538984,1.34642601013184
"373","GINS1",3,221,-0.200736950862473,0.000999000999000999,0,1,0.00790085392538984,1.47495794296265
"5111","PTCH2",5,433,-0.115792145268324,0.003,0,1,0.0204274289709421,1.24849605560303
"4101","BOC",4,402,-0.11200936238885,0.001,0,1,0.00790775527898214,1.52959394454956
"658","IL33",6,437,-0.0372391666326979,0.162,0,1,0.45686574888746,1.44278001785278
"5112","SOCS2",5,435,-0.0817220657920613,0.007,0,1,0.0417329159094878,1.23735404014587
"5113","CHL1",5,433,-0.112388217137087,0.000999000999000999,0,1,0.00790085392538984,1.38920307159424
"659","TSTA3",6,437,-0.0283628610772582,0.23,0,1,0.568025473113557,1.18774819374084
"76","TRPC6",7,437,-0.0721020852448853,0.022,0,1,0.105967682163724,1.39587211608887
"5114","LGR6",5,433,-0.102010759113238,0.000999000999000999,0,1,0.00790085392538984,1.50751399993896
"4102","ADAM8",4,412,-0.152783648564032,0.000999000999000999,0,1,0.00790085392538984,1.24056100845337
"4103","LIMS2",4,391,-0.141907524296378,0.000999000999000999,0,1,0.00790085392538984,1.39170408248901
"4104","PPP1R14A",4,421,-0.126815314406049,0.000999000999000999,0,1,0.00790085392538984,1.35459399223328
"660","TFR2",6,436,-0.0520936705189487,0.079,0,1,0.279526286694694,1.49592709541321
"5115","DLK1",5,435,0.000360993715461775,0.522,0,1,0.861345774753938,1.28369498252869
"5116","MFGE8",5,435,-0.0452018259785256,0.111,0,1,0.355002983621348,1.44344806671143
"5117","ARID5B",5,430,-0.105834198630477,0.006,0,1,0.0366959748585245,1.44695615768433
"5118","OLR1",5,432,-0.0659452790455739,0.037,0,1,0.158982982554503,1.16406798362732
"661","IGFBP6",6,437,-0.0450061625147373,0.108,0,1,0.348367397600655,1.32177090644836
"662","PAPPA2",6,437,-0.0505695793689294,0.085,0,1,0.294533841911805,1.18555402755737
"5119","TNFRSF9",5,432,-0.026632906697119,0.25,0,1,0.596573590279973,1.39918112754822
"5120","IL11RA",5,433,-0.0872221791304146,0.008,0,1,0.0466265098984184,1.392245054245
"5121","EMILIN3",5,411,-0.081027100359818,0.013,0,1,0.0694564769797678,1.11299300193787
"663","MAB21L1",6,435,-0.0557759287861385,0.08,0,1,0.28205829154466,1.28420901298523
"77","RGN",7,434,-0.054218932827546,0.073,0,1,0.264062596161864,1.03455805778503
"664","NDRG2",6,437,-0.0859447252725856,0.009,0,1,0.0513947763148133,1.33004808425903
"665","MT1X",6,435,-0.0479834724293076,0.095,0,1,0.318618446801252,1.32646322250366
"226","NTF4",2,9,-0.471404520791032,0.109,0,1,0.350588406246076,1.19354796409607
"5122","TESC",5,434,-0.110227178709499,0.002,0,1,0.0144292161968444,1.35865521430969
"5123","EFCAB1",5,434,-0.111703701039832,0.002,0,1,0.0144292161968444,1.18758583068848
"374","FAHD2A",3,215,-0.0912869748327539,0.053,0,1,0.208685558367791,1.37515807151794
"666","PDZD11",6,420,-0.0857445057235405,0.017,0,1,0.0862672128937407,1.04559993743896
"667","TUFT1",6,431,-0.0967036498345455,0.006,0,1,0.0366959748585245,1.28600001335144
"9","IL17B",9,437,-0.0504962631277675,0.084,0,1,0.292062832331661,1.10932588577271
"4105","CEP68",4,399,-0.198548144766207,0.000999000999000999,0,1,0.00790085392538984,1.18602800369263
"4106","CDCA2",4,325,-0.171938561321316,0.000999000999000999,0,1,0.00790085392538984,1.33684992790222
"4107","IL17RD",4,416,-0.13792889002437,0.000999000999000999,0,1,0.00790085392538984,1.20193195343018
"4108","RUSC1",4,402,-0.143377807952354,0.000999000999000999,0,1,0.00790085392538984,1.37141609191895
"668","ADGRD2",6,413,-0.153200688483794,0.000999000999000999,0,1,0.00790085392538984,1.22016310691833
"78","KLHL29",7,437,-0.121609640609094,0.000999000999000999,0,1,0.00790085392538984,1.07598614692688
"5124","ROBO3",5,425,-0.150983411590192,0.000999000999000999,0,1,0.00790085392538984,1.29761385917664
"5125","RND3",5,429,-0.113220903565552,0.001,0,1,0.00790775527898214,1.18398904800415
"4109","NEIL3",4,331,-0.154649360032285,0.000999000999000999,0,1,0.00790085392538984,1.34242701530457
"669","GREM2",6,434,-0.083369221937572,0.009,0,1,0.0513947763148133,1.36788415908813
"5126","FBXO45",5,432,-0.0932149545146388,0.008,0,1,0.0466265098984184,1.18055105209351
"670","LTBP4",6,437,-0.0869471400227637,0.003,0,1,0.0204274289709421,1.3173348903656
"5127","PLAGL1",5,434,-0.112115460406295,0.000999000999000999,0,1,0.00790085392538984,1.20756697654724
"4110","MTFR2",4,320,-0.156532506833438,0.000999000999000999,0,1,0.00790085392538984,1.34061002731323
