"","gene.id","radius","size","observed.tau_b","p.Decay","observed.cor","p.Sphere","p.Fisher","time"
"531","ESPL1",5,436,-0.115269892361721,0.000999000999000999,0,1,0.00790085392538984,1.4743549823761
"328","MTHFD2",3,203,-0.214699627799778,0.000999000999000999,0,1,0.00790085392538984,1.41590595245361
"7","BCL2L2",7,436,0.0132692850881853,0.671,0,1,0.938719701289015,1.08848190307617
"63","AP1S1",6,436,-0.0288440126693491,0.214,0,1,0.543940762487501,1.38036108016968
"532","ARF1",5,436,-0.108901551758542,0.000999000999000999,0,1,0.00790085392538984,1.2801730632782
"64","MUCL1",6,437,-0.0711497718622837,0.033,0,1,0.145571174678017,1.34683418273926
"329","UBE2S",3,349,-0.114641445779097,0.002,0,1,0.0144292161968444,1.27943015098572
"330","PRKN",3,356,-0.118504882060505,0.002,0,1,0.0144292161968444,1.45031690597534
"331","ASB1",3,348,-0.120012907117594,0.001,0,1,0.00790775527898214,1.43709897994995
"533","FBXW7",5,435,-0.113028812613106,0.000999000999000999,0,1,0.00790085392538984,1.25821399688721
"332","ZBTB16",3,352,-0.127472120688168,0.000999000999000999,0,1,0.00790085392538984,1.47196316719055
"333","FBXO31",3,348,-0.129312234256514,0.000999000999000999,0,1,0.00790085392538984,1.26673579216003
"334","CCNF",3,349,-0.136267525729946,0.000999000999000999,0,1,0.00790085392538984,1.43356680870056
"534","KLHL13",5,436,-0.089113083954787,0.009,0,1,0.0513947763148133,1.47754812240601
"535","SNRNP25",5,434,-0.0162947538481106,0.351,0,1,0.718486138486211,1.20686006546021
"536","HPSE2",5,433,-0.113828959481032,0.002,0,1,0.0144292161968444,1.36382794380188
"537","HS3ST4",5,433,-0.113109923293834,0.002,0,1,0.0144292161968444,1.21214079856873
"335","HNRNPF",3,342,-0.0467079348777161,0.141,0,1,0.41721834979316,1.40205693244934
"538","HNRNPU",5,434,0.0315774287714854,0.821,0,1,0.982927611183891,1.41999506950378
"539","CHST2",5,421,-0.126287540587288,0.000999000999000999,0,1,0.00790085392538984,1.14434099197388
"65","CHST3",6,437,-0.0921329567868071,0.005,0,1,0.0314915868327402,1.33618807792664
"434","CFL1",4,423,-0.127667181594343,0.000999000999000999,0,1,0.00790085392538984,1.24096417427063
"66","MRPL14",6,436,-0.0819347096705415,0.014,0,1,0.0737617712911363,1.36762189865112
"540","POLR3K",5,436,-0.0503797708587391,0.099,0,1,0.327950907455907,1.48073816299438
"541","NCAM1",5,435,-0.0913403047666214,0.006,0,1,0.0366959748585245,1.24602508544922
"336","RAD51AP1",3,346,-0.166258738251925,0.000999000999000999,0,1,0.00790085392538984,1.44130182266235
"542","RMI2",5,435,-0.0892963486436058,0.005,0,1,0.0314915868327402,1.25340008735657
"337","EME1",3,318,-0.136690640690697,0.000999000999000999,0,1,0.00790085392538984,1.42714500427246
"338","PSMC4",3,378,-0.134678439643861,0.000999000999000999,0,1,0.00790085392538984,1.28286600112915
"339","RAD51",3,347,-0.146037959293955,0.000999000999000999,0,1,0.00790085392538984,1.46863913536072
"435","CLSPN",4,425,-0.152245127132077,0.000999000999000999,0,1,0.00790085392538984,1.43031406402588
"543","RMI1",5,435,-0.113658596244432,0.000999000999000999,0,1,0.00790085392538984,1.27214694023132
"436","EXO1",4,427,-0.122621285907174,0.000999000999000999,0,1,0.00790085392538984,1.47600507736206
"340","TROAP",3,298,-0.177450254962187,0.000999000999000999,0,1,0.00790085392538984,1.26626086235046
"341","SMC4",3,325,-0.137540600894703,0.000999000999000999,0,1,0.00790085392538984,1.45585417747498
"213","CDKN3",2,149,-0.229366247195207,0.000999000999000999,0,1,0.00790085392538984,1.46323204040527
"214","SPAG5",2,143,-0.243052681927652,0.000999000999000999,0,1,0.00790085392538984,1.27199792861938
"342","PLK4",3,367,-0.1597614833105,0.000999000999000999,0,1,0.00790085392538984,1.4727029800415
"343","OIP5",3,333,-0.148111647579453,0.000999000999000999,0,1,0.00790085392538984,1.29045915603638
"544","OSBPL1A",5,435,-0.112747715084273,0.000999000999000999,0,1,0.00790085392538984,1.43415999412537
"437","COPA",4,429,-0.0791895800159018,0.016,0,1,0.0821626649078777,1.4885790348053
"438","KIF18B",4,418,-0.105194411002841,0.001,0,1,0.00790775527898214,1.25538802146912
"344","RACGAP1",3,372,-0.142728839898302,0.000999000999000999,0,1,0.00790085392538984,1.46942520141602
"215","HMMR",2,182,-0.192985403145214,0.000999000999000999,0,1,0.00790085392538984,1.29511499404907
"67","KIFC1",6,437,-0.119972077075286,0.000999000999000999,0,1,0.00790085392538984,1.43605208396912
"345","MKI67",3,310,-0.18133317467469,0.000999000999000999,0,1,0.00790085392538984,1.28941893577576
"545","NEK2",5,436,-0.154227774611549,0.000999000999000999,0,1,0.00790085392538984,1.46206784248352
"346","DTL",3,353,-0.139782697934955,0.001,0,1,0.00790775527898214,1.48408913612366
"216","ANLN",2,144,-0.19836060275563,0.000999000999000999,0,1,0.00790085392538984,1.27558708190918
"217","PIMREG",2,134,-0.221839047108739,0.000999000999000999,0,1,0.00790085392538984,1.46597504615784
"68","KIF26B",6,437,-0.0985505434845016,0.002,0,1,0.0144292161968444,1.26989388465881
"347","CEP55",3,318,-0.166025910891348,0.000999000999000999,0,1,0.00790085392538984,1.45737504959106
"348","ASF1B",3,291,-0.142094443888305,0.001,0,1,0.00790775527898214,1.43694806098938
"349","PBK",3,325,-0.169061204620102,0.000999000999000999,0,1,0.00790085392538984,1.30869483947754
"350","KIF15",3,349,-0.163107875159036,0.000999000999000999,0,1,0.00790085392538984,1.54859399795532
"218","RRM2",2,166,-0.283127611351173,0.000999000999000999,0,1,0.00790085392538984,1.32316517829895
"219","PTTG1",2,169,-0.284397805366632,0.000999000999000999,0,1,0.00790085392538984,1.51877808570862
"69","COPB2",6,437,-0.113356475023361,0.000999000999000999,0,1,0.00790085392538984,1.4734570980072
"351","TRIP13",3,314,-0.187940110606676,0.000999000999000999,0,1,0.00790085392538984,1.26797986030579
"352","KIF23",3,365,-0.152217065668602,0.000999000999000999,0,1,0.00790085392538984,1.4833300113678
"220","PCLAF",2,169,-0.262493547112949,0.000999000999000999,0,1,0.00790085392538984,1.36365008354187
"353","MELK",3,328,-0.166632713392499,0.000999000999000999,0,1,0.00790085392538984,1.52220606803894
"354","KIF14",3,345,-0.176022813085843,0.000999000999000999,0,1,0.00790085392538984,1.54952216148376
"439","CNIH2",4,420,-0.129457646557269,0.000999000999000999,0,1,0.00790085392538984,1.29376912117004
"546","KANK1",5,430,-0.138496676626228,0.000999000999000999,0,1,0.00790085392538984,1.37251091003418
"440","GRIA4",4,424,-0.158866386079621,0.000999000999000999,0,1,0.00790085392538984,1.30866694450378
"441","PPP1CA",4,430,-0.163917389607236,0.000999000999000999,0,1,0.00790085392538984,1.48299908638
"355","STAT5A",3,398,-0.120584966870173,0.000999000999000999,0,1,0.00790085392538984,1.27594089508057
"547","TENM2",5,413,-0.164208690249925,0.000999000999000999,0,1,0.00790085392538984,1.32730317115784
"356","E2F1",3,394,-0.0859916320695977,0.015,0,1,0.0779955761681989,1.46102714538574
"442","JPT1",4,391,-0.129339647988793,0.000999000999000999,0,1,0.00790085392538984,1.17851591110229
"610","ZNF668",6,436,-0.0974772888061424,0.001,0,1,0.00790775527898214,1.3147509098053
"443","DAB2IP",4,417,-0.120065206836148,0.000999000999000999,0,1,0.00790085392538984,1.21399092674255
"548","EDN3",5,436,-0.0359749230969784,0.156,0,1,0.445832286390286,1.54095602035522
"549","OXTR",5,436,-0.0363760672980638,0.165,0,1,0.462298617838457,1.45507001876831
"71","PLPP4",7,437,-0.0905849388020784,0.008,0,1,0.0466265098984184,1.20020818710327
"611","PLPP3",6,437,-0.0713216427882269,0.026,0,1,0.120891127264977,1.47188115119934
"357","CDK5",3,362,-0.141155195047459,0.000999000999000999,0,1,0.00790085392538984,1.28371906280518
"550","PSMD14",5,437,-0.119884253534142,0.000999000999000999,0,1,0.00790085392538984,1.5031270980835
"221","CKS2",2,148,-0.240076679998546,0.000999000999000999,0,1,0.00790085392538984,1.52087211608887
"358","PSMA5",3,379,-0.127800822591071,0.000999000999000999,0,1,0.00790085392538984,1.27873611450195
"359","CDT1",3,348,-0.121872111207441,0.004,0,1,0.026085843671449,1.46260786056519
"360","PKMYT1",3,304,-0.123718175184473,0.000999000999000999,0,1,0.00790085392538984,1.25894379615784
"444","CCNE2",4,430,-0.119745022807423,0.000999000999000999,0,1,0.00790085392538984,1.43856906890869
"361","CDC6",3,357,-0.115034836040359,0.002,0,1,0.0144292161968444,1.50150108337402
"551","ISG20L2",5,435,-0.0907582036760011,0.003,0,1,0.0204274289709421,1.23312497138977
"445","LMOD1",4,405,-0.183455939727787,0.000999000999000999,0,1,0.00790085392538984,1.3726179599762
"446","MYH11",4,421,-0.136923839372581,0.000999000999000999,0,1,0.00790085392538984,1.26193284988403
"362","MYLK",3,360,-0.197403013853797,0.000999000999000999,0,1,0.00790085392538984,1.43744087219238
"447","TPM3",4,420,-0.133208894583839,0.000999000999000999,0,1,0.00790085392538984,1.25093507766724
"448","ACTG2",4,410,-0.172766392121709,0.000999000999000999,0,1,0.00790085392538984,1.39123892784119
"552","SRP9",5,434,-0.0925138567456406,0.005,0,1,0.0314915868327402,1.42765712738037
"612","POC1A",6,433,-0.0835662738494719,0.008,0,1,0.0466265098984184,1.1294310092926
"363","CCT3",3,376,-0.185551529879504,0.000999000999000999,0,1,0.00790085392538984,1.44772887229919
"613","WIF1",6,436,-0.0603926244935384,0.045,0,1,0.184549175514532,1.19253897666931
"614","SFRP1",6,437,-0.088759630866115,0.007,0,1,0.0417329159094878,1.4268159866333
"553","NRG1",5,436,-0.133636538190744,0.000999000999000999,0,1,0.00790085392538984,1.42250204086304
"449","NRG2",4,428,-0.115388819122629,0.000999000999000999,0,1,0.00790085392538984,1.26216387748718
"615","PIGM",6,434,-0.088758639081583,0.004,0,1,0.026085843671449,1.2940571308136
"72","COL17A1",7,437,-0.0901903057427415,0.006,0,1,0.0366959748585245,1.23616099357605
"554","FOSB",5,433,-0.112161695907925,0.000999000999000999,0,1,0.00790085392538984,1.37740206718445
"555","VIPR1",5,436,-0.101976208148128,0.004,0,1,0.026085843671449,1.39882898330688
"222","KPNA2",2,126,-0.241533003082935,0.000999000999000999,0,1,0.00790085392538984,1.2489538192749
"450","CDCA3",4,380,-0.141987203283446,0.000999000999000999,0,1,0.00790085392538984,1.37895798683167
"556","INTS7",5,435,-0.0755445760651425,0.021,0,1,0.102127889666433,1.23409199714661
"451","KCNMB1",4,415,-0.172137815242413,0.000999000999000999,0,1,0.00790085392538984,1.40308403968811
"616","GABRD",6,436,-0.0722125782508803,0.029,0,1,0.131673324020874,1.19419598579407
"557","SPRY2",5,436,-0.125360462827002,0.000999000999000999,0,1,0.00790085392538984,1.43582606315613
"452","CNKSR2",4,421,-0.134748114352163,0.000999000999000999,0,1,0.00790085392538984,1.39565491676331
"453","CIT",4,420,-0.193776770576981,0.000999000999000999,0,1,0.00790085392538984,1.24534392356873
"454","INHBA",4,415,-0.034473134667687,0.209,0,1,0.536172994646621,1.38780403137207
"558","GGCT",5,433,-0.0180553835447583,0.302,0,1,0.663593135005395,1.20841002464294
"559","SNCA",5,436,-0.104402212642353,0.000999000999000999,0,1,0.00790085392538984,1.41636514663696
"560","ESCO2",5,428,-0.122572839848757,0.000999000999000999,0,1,0.00790085392538984,1.39008808135986
"364","LMNB1",3,350,-0.157053764302768,0.000999000999000999,0,1,0.00790085392538984,1.25017809867859
"455","DMD",4,425,-0.145345249898972,0.000999000999000999,0,1,0.00790085392538984,1.44980597496033
"561","FGF1",5,436,-0.0551668688293867,0.053,0,1,0.208685558367791,1.26614880561829
"456","PAK5",4,424,-0.163899147473222,0.000999000999000999,0,1,0.00790085392538984,1.42552304267883
"617","ALDH1A3",6,436,0.0418928542449873,0.867,0,1,0.990735034008783,1.41978883743286
"562","KL",5,435,-0.0565877293020878,0.057,0,1,0.220288128635412,1.27722716331482
"618","CDNF",6,436,-0.0939872150729309,0.007,0,1,0.0417329159094878,1.2869119644165
"365","CBX7",3,272,-0.1884807466769,0.000999000999000999,0,1,0.00790085392538984,1.24779105186462
"563","RYR3",5,431,-0.104585725990112,0.003,0,1,0.0204274289709421,1.38029599189758
"564","HIF3A",5,436,-0.0899165417068047,0.002,0,1,0.0144292161968444,1.45555400848389
"457","TUBB3",4,386,-0.163311315108478,0.000999000999000999,0,1,0.00790085392538984,1.17901492118835
"458","TUBA1C",4,423,-0.133828576232252,0.000999000999000999,0,1,0.00790085392538984,1.41605186462402
"619","ADAR",6,437,-0.0815692130288303,0.015,0,1,0.0779955761681989,1.21775507926941
"459","STAT5B",4,430,-0.115422883531059,0.000999000999000999,0,1,0.00790085392538984,1.46193599700928
"620","LCAT",6,437,-0.107173052439536,0.002,0,1,0.0144292161968444,1.20724511146545
"460","PPP1R12B",4,421,-0.122145996869814,0.000999000999000999,0,1,0.00790085392538984,1.42180895805359
"565","CDC14B",5,431,-0.126892642757755,0.000999000999000999,0,1,0.00790085392538984,2.18322515487671
"566","MYH3",5,436,-0.113524359117396,0.001,0,1,0.00790775527898214,1.23978710174561
"461","MYOM1",4,392,-0.150281622223809,0.000999000999000999,0,1,0.00790085392538984,1.35862398147583
"366","MBOAT7",3,41,-0.158163316770142,0.133,0,1,0.401315018051131,1.14789295196533
"367","SKA3",3,252,-0.163353496292932,0.000999000999000999,0,1,0.00790085392538984,1.38079500198364
"462","STIL",4,413,-0.138489730957542,0.000999000999000999,0,1,0.00790085392538984,1.45068788528442
"567","SHCBP1",5,432,-0.134905725432137,0.000999000999000999,0,1,0.00790085392538984,1.25020003318787
"621","ADAMTS5",6,437,-0.0786479816808137,0.015,0,1,0.0779955761681989,1.37074398994446
"622","ADAMTS14",6,437,-0.0944821296717872,0.01,0,1,0.0560517018598809,1.20170307159424
"463","PIK3C2G",4,423,-0.144387945478367,0.000999000999000999,0,1,0.00790085392538984,1.37439298629761
"623","ACADS",6,437,-0.0162933520163253,0.344,0,1,0.711087085833406,1.39205312728882
"568","MYBL2",5,434,-0.0901028451710106,0.014,0,1,0.0737617712911363,1.25794100761414
"569","COA6",5,424,-0.0578831422545234,0.066,0,1,0.245394635439077,1.28301215171814
"624","COL10A1",6,436,-0.0906496652526912,0.013,0,1,0.0694564769797678,1.22002291679382
"464","COL11A1",4,420,-0.13049494717468,0.000999000999000999,0,1,0.00790085392538984,1.41156983375549
"625","COL25A1",6,437,-0.10005231724528,0.007,0,1,0.0417329159094878,1.22447609901428
"465","COL23A1",4,421,-0.137868797263763,0.000999000999000999,0,1,0.00790085392538984,1.40112590789795
"570","APBA1",5,434,-0.0523498650517735,0.075,0,1,0.269270037408437,1.37480688095093
"626","SLC17A7",6,436,-0.0441753148487013,0.116,0,1,0.36588315019359,1.19261717796326
"571","CALCOCO1",5,434,-0.039378963547022,0.165,0,1,0.462298617838457,1.34500479698181
"572","HOXA7",5,432,-0.100696791634986,0.002,0,1,0.0144292161968444,1.20307207107544
"627","MFAP2",6,436,-0.0248668263170192,0.248,0,1,0.593792980138655,1.3766930103302
"73","LOXL4",7,436,-0.0719255891152478,0.028,0,1,0.128115421526594,1.29892683029175
"573","MAP1LC3C",5,431,-0.0953338579023407,0.002,0,1,0.0144292161968444,1.18724894523621
"466","GNAL",4,416,-0.103336052844803,0.002,0,1,0.0144292161968444,1.3721649646759
"467","DNAH1",4,411,-0.11359708188034,0.001,0,1,0.00790775527898214,1.26301598548889
"628","MASP1",6,437,-0.068129246603373,0.034,0,1,0.148967421648443,1.29839015007019
"629","MEIS2",6,435,-0.054537411240116,0.079,0,1,0.279526286694694,1.35167384147644
"468","RAD54L",4,392,-0.133607644981655,0.000999000999000999,0,1,0.00790085392538984,1.23880195617676
"574","DEPDC1",5,432,-0.147629202002495,0.000999000999000999,0,1,0.00790085392538984,1.41113805770874
"575","PKD2",5,434,-0.136762775644699,0.000999000999000999,0,1,0.00790085392538984,1.20314979553223
"469","EIF2AK1",4,415,-0.126183198673432,0.000999000999000999,0,1,0.00790085392538984,1.40407109260559
"576","CES2",5,434,-0.0663765755292453,0.038,0,1,0.162266426531719,1.20878911018372
"470","CCL11",4,429,-0.11523672889245,0.001,0,1,0.00790775527898214,1.43180513381958
"577","CX3CL1",5,435,-0.126678358664587,0.000999000999000999,0,1,0.00790085392538984,1.4176299571991
"578","HOXA3",5,434,-0.0297034387134279,0.239,0,1,0.5810787227651,1.24329519271851
"223","HOXA4",2,50,-0.102040816326531,0.248,0,1,0.593792980138655,1.44658184051514
"630","HSD17B6",6,436,-0.03560604870476,0.187,0,1,0.500532925817852,1.16801404953003
"579","PTPRZ1",5,428,-0.129404466860014,0.000999000999000999,0,1,0.00790085392538984,1.35416698455811
