"","gene.id","radius","size","observed.tau_b","p.Decay","time"
"4370","ZNF512",4,734,-0.0732315530551936,0.007,3.95987701416016
"4371","ZBTB24",4,734,-0.0728698085726052,0.006,4.40075707435608
"21083","TPK1",2,7,-0.534522483824849,0.159,4.84323596954346
"4372","ARFIP1",4,414,-0.0535950411300735,0.079,4.63396692276001
"4373","PANK1",4,821,-0.0161236954563964,0.271,4.46530699729919
"4374","PANK2",4,821,-0.0187160099880268,0.241,4.5060408115387
"32111","EDRF1",3,269,-0.0126788226741553,0.395,4.395094871521
"528","ZC3HAV1",5,1352,2.63556685544498e-06,0.489,4.7055549621582
"4375","CAMTA2",4,582,-0.0253069318786885,0.225,4.42860102653503
"4376","RSRP1",4,582,-0.0264955908002632,0.201,4.00726699829102
"32112","IQCG",3,309,0.006207642782083,0.528,4.81452202796936
"21084","EXOG",2,7,-0.534522483824849,0.141,4.65405988693237
"4377","C17orf80",4,251,-0.0351325783566952,0.231,4.38962507247925
"21085","NARF",2,11,-0.426401432711221,0.09,5.04112911224365
"32113","NIN",3,4,-0.707106781186548,0.247,4.2148220539093
"4378","GNPTAB",4,407,-0.0853213819208363,0.013,4.02602815628052
"32114","ZBTB2",3,43,-0.222109508824718,0.054,4.46664190292358
"32115","SLC38A5",3,47,-0.211782550596455,0.039,4.07436585426331
"4379","FUNDC1",4,913,-0.0507771219060537,0.033,4.4952700138092
"32116","CDK11B",3,3,-0.816496580927726,0.333,4.14944100379944
"32117","TCERG1",3,480,-0.0334890338643207,0.189,3.77680587768555
"32118","TUSC2",3,480,-0.0373052904070757,0.154,4.15665292739868
"32119","COMTD1",3,480,-0.0147395995455681,0.341,3.76851201057434
"32120","CFAP20",3,480,-0.020381022260945,0.294,4.16468787193298
"32121","AGGF1",3,480,-0.0155139124672865,0.34,4.20327806472778
