"","1","2","3","4","5","6"
"TRIM28",0,0,0,0,0,0
"TP53",0.0294706370711009,0.0294706370711009,0.0294706370711009,0.0294706370711009,0.0294706370711009,0.0294706370711009
"CCNB1",0.0589439839371204,0.0589439839371204,0.0589439839371204,0.0589439839371204,0.0589439839371204,0.0589439839371204
"RPS27A",0.0904610774650879,0.0904610774650879,0.0904610774650879,0.0904610774650879,0.0904610774650879,0.0904610774650879
"CCNA2",0.0908530353639529,0.123876508557148,0.123876508557148,0.123876508557148,0.123876508557148,0.123876508557148
"UBA52",0.124280440288716,0.124280440288716,0.124280440288716,0.124280440288716,0.124280440288716,0.123876508557148
"AURKB",0.124942290006416,0.124942290006416,0.124942290006416,0.124942290006416,0.124280440288716,0.124330058504941
"TPX2",0.125948010010501,0.125177151047431,0.125948010010501,0.125948010010501,0.124942290006416,0.125053955582922
"AURKA",0.12722440728366,0.126182871051516,0.12722440728366,0.125948010010501,0.126024286597764,0.126024286597764
"BIRC5",0.128556440844121,0.127459268324675,0.128556440844121,0.12722440728366,0.12729529928429,0.12729529928429
"EXO1",0.129587893270764,0.1289374972953,0.128556440844121,0.128556440844121,0.128992864644859,0.128992864644859
"UBB",0.129722464526214,0.129045983675996,0.128976748716323,0.130612961059651,0.130612961059651,0.130612961059651
"MYC",0.130103520977393,0.12909981519195,0.129085235097019,0.130749447087504,0.132965349427119,0.132965349427119
"CDC25C",0.1621942703852,0.130170042839421,0.131169754959706,0.133101835454972,0.137349126714911,0.137349126714911
"UBC",0.162260792247228,0.130209294260445,0.131237208362509,0.137485612742764,0.140131011430594,0.140131011430594
"PCNA",0.163003271252108,0.185365988948325,0.132644984226721,0.137553066145567,0.147060940908518,0.147060940908518
"RFC4",0.164245153801132,0.217456738356132,0.132893795539464,0.137914301603249,0.147197426936371,0.156213272259382
"PPP2CA",0.164845371909588,0.218056956464587,0.133716045666375,0.144544720129623,0.156349758287234,0.159782841504814
"PPP2R1A",0.16553864182177,0.218799435469467,0.136695030088322,0.147626115796856,0.156706821749331,0.163544360346694
"JUN",0.165881065179539,0.219174488527886,0.141382476038165,0.148046423669058,0.160375537197717,0.168140131059854
"PSMA5",0.167159805736406,0.219439742890261,0.142374209216695,0.150402249589336,0.160447162596106,0.172982743648167
"CHEK1",0.168805187429308,0.220203738510306,0.175168710530215,0.153704165220284,0.164360933435128,0.173174102197745
"GTSE1",0.205939237943004,0.221482479067173,0.182101539497566,0.16345316058118,0.169103494875501,0.173954642529782
"CDC42",0.206255831946605,0.221882392225179,0.185370469306865,0.167722941783818,0.173659093759519,0.178833013556512
"PSMC4",0.207888364288526,0.223124274774203,0.189359268948586,0.172311436338851,0.17893133455138,0.183709269157971
"PSMD14",0.209735200791711,0.227051653044896,0.190757938561234,0.176907776833416,0.183807590152839,0.183807590152839
"NGFR",0.243303374723749,0.229768928128891,0.193067402432334,0.182308424197073,0.187071936286295,0.189487542337329
"HSP90AA1",0.243654832015979,0.230355721507706,0.202983789831816,0.184265598199915,0.19250312418674,0.194910123606943
"EP300",0.277101840005967,0.235184286003054,0.207832742614219,0.18944941816134,0.198755647066185,0.207835120105966
"CCNE2",0.278444698256501,0.236864739877519,0.20944541674629,0.191170003174629,0.211680643565208,0.223839765010617
"VCAN",0.337386239868513,0.241189290900496,0.214994963544327,0.224948205598849,0.213971259046602,0.242174236333685
"EGFR",0.337743045463456,0.243083501319293,0.220206671949687,0.237630136963682,0.230293179106738,0.246337034948412
"PPP2CB",0.338207546302682,0.245309940002469,0.22613077772082,0.243527816070984,0.248627650429805,0.248627650429805
"ZWINT",0.340649000910758,0.283306377444985,0.231486569482369,0.250294365842128,0.248744973840512,0.248744973840512
"CDK2",0.342016196361088,0.291095717621329,0.286717447765929,0.250411689252835,0.25078330652933,0.256352297013689
"HDAC1",0.342190833706449,0.295722210656645,0.287068218015756,0.253093954378963,0.251289878211819,0.264778589271504
"PSMA4",0.344135695329422,0.305815525745248,0.287185541426462,0.255028091387418,0.287380435672702,0.272237405496079
"RPA3",0.344812383744264,0.306054871278217,0.287707394442119,0.271527412950217,0.295106310649164,0.27450562455061
"RAC1",0.345034432839663,0.312335277217516,0.294001906519046,0.292174239309949,0.302358604922315,0.283359434664549
"PPP2R1B",0.345868782389255,0.363673435349683,0.306905686124203,0.299900114286411,0.311457220258734,0.319804458690185
"CDK5",0.346297584282044,0.369282664230394,0.313973649712632,0.302742171062582,0.314480179656752,0.328914449798265
"PIK3CA",0.368102451608678,0.374978140055829,0.330472971275431,0.310157758104959,0.323333989770691,0.332114810698947
"CCT3",0.368512281706977,0.381872223830131,0.351119797635163,0.318979127599694,0.325268126779146,0.340191173313101
"CCT5",0.369001855893038,0.387685781915278,0.355160928805515,0.328434028358956,0.33455551938989,0.342350010266573
"CCT8",0.369580363760516,0.42311399192697,0.355485943766252,0.3377214209697,0.342856581949062,0.351729534356385
"RMI2",0.370760377977102,0.423316984765444,0.362785325440286,0.337927385142489,0.346022483528871,0.352236106038874
"PSMB4",0.372686114460964,0.430250886195126,0.402007396152261,0.34622844770166,0.355402007618683,0.368786557658638
"RBBP4",0.372999440132078,0.44603501656506,0.410022071397955,0.355607971791472,0.363722017820592,0.377885152360501
"RMI1",0.374346540513447,0.44706057156406,0.419036902547759,0.356003905994114,0.372851033985439,0.386673633251117
"TXN",0.403818181256472,0.462246346182582,0.419623695926574,0.361168451141372,0.389839534830927,0.39548977348801
"BARD1",0.405335435207835,0.480929158133923,0.422907561783594,0.361787309775171,0.398655675067819,0.398655675067819
