"","gene.id","radius","size","observed.tau_b","p.Decay","time"
"1","FAM3C",4,9040,-0.0450880448723083,0.000999000999000999,23.0799520015717
"2","VTI1B",4,9044,-0.0466048440592443,0.000999000999000999,23.1496820449829
"3","MAGED2",4,9021,-0.0448668317655146,0.000999000999000999,17.1329429149628
"4","CLU",3,7164,-0.0302596476390076,0.000999000999000999,17.3492469787598
"5","SERPINA3",4,9021,-0.0451520544071689,0.000999000999000999,17.1076278686523
"6","APOOL",4,9038,-0.0441460184598329,0.000999000999000999,17.190052986145
"7","CTSW",3,6670,-0.0597358936385767,0.000999000999000999,16.8740251064301
"8","CFD",4,9032,-0.0432502033101684,0.000999000999000999,16.7065300941467
"9","ECM1",4,9021,-0.0449109451473032,0.000999000999000999,17.1845779418945
"10","EGF",4,9282,-0.0387275561082429,0.000999000999000999,15.7044279575348
"11","A2M",3,7053,-0.0314521337068602,0.000999000999000999,16.8625180721283
"12","ALB",4,9129,-0.0444952967376588,0.000999000999000999,16.8915519714355
"13","F5",3,6989,-0.0338907191984204,0.000999000999000999,16.8758499622345
"14","F8",3,7002,-0.0315981610616986,0.000999000999000999,16.8975970745087
"15","F13A1",4,9049,-0.0490784745812784,0.000999000999000999,22.8994898796082
"16","FGB",3,7093,-0.0337055270516986,0.000999000999000999,23.3077590465546
"17","ALDOA",4,9149,-0.0430302482547893,0.000999000999000999,17.141420841217
"18","FGG",4,9169,-0.0485732517031466,0.000999000999000999,16.9180588722229
"19","VEGFD",4,9146,-0.0387335330190561,0.000999000999000999,17.0067348480225
"20","MMRN1",4,9021,-0.044660684006738,0.000999000999000999,16.8901269435883
"21","FN1",4,9206,-0.0423416794711459,0.000999000999000999,17.3694319725037
"22","GAS6",4,9039,-0.0420189480009503,0.000999000999000999,16.7351591587067
"23","OLA1",4,9087,-0.0383120457828338,0.000999000999000999,16.6443018913269
"24","HGF",3,7941,-0.0419184116020056,0.000999000999000999,17.3526329994202
"25","IGF1",4,9222,-0.0307792656476026,0.000999000999000999,14.616977930069
"26","IGF2",4,9099,-0.0399894811867627,0.000999000999000999,14.1728508472443
"27","APP",4,9224,-0.0311686299460818,0.000999000999000999,17.288999080658
"28","ISLR",4,9021,-0.0450875961970628,0.000999000999000999,16.5952458381653
"29","ITIH3",4,9021,-0.044803459379107,0.000999000999000999,16.4708499908447
"30","NHLRC2",4,9021,-0.0449731647678857,0.000999000999000999,16.5339868068695
"31","LGALS3BP",4,9026,-0.0452764905881813,0.000999000999000999,16.8056631088257
"32","ORM1",4,9021,-0.0448666342429095,0.000999000999000999,16.4226140975952
"33","ORM2",4,9022,-0.0451089458482089,0.000999000999000999,16.4710760116577
"34","SERPINE1",3,7784,-0.0464141038386729,0.000999000999000999,17.0911090373993
"35","SCCPDH",4,9051,-0.0478721156890761,0.000999000999000999,16.616730928421
"36","TEX264",4,9021,-0.044980736467745,0.000999000999000999,16.8991219997406
"37","PDGFB",4,9219,-0.0333713141501468,0.000999000999000999,17.2525899410248
"38","FAM49B",4,9051,-0.0443165111565481,0.000999000999000999,16.5882248878479
"39","SERPINA1",4,9158,-0.0429866183021439,0.000999000999000999,17.1588790416718
"40","SERPINF2",4,9021,-0.0442621120780144,0.000999000999000999,16.7365219593048
"41","GTPBP2",4,9021,-0.0453098644768013,0.000999000999000999,16.4877579212189
"42","TOR4A",4,9021,-0.0449019907892088,0.000999000999000999,16.4831120967865
"43","SRGN",4,9021,-0.0451449435933881,0.000999000999000999,17.0635080337524
"44","CDC37L1",4,9088,-0.0483638512576886,0.000999000999000999,14.3725020885468
"45","PROS1",4,9076,-0.0449734209052997,0.000999000999000999,16.679123878479
"46","QSOX1",4,9021,-0.0448735475340854,0.000999000999000999,16.5577437877655
"47","RARRES2",4,9021,-0.0448653174255427,0.000999000999000999,16.5122690200806
"48","SELENOP",4,9021,-0.0446835966289208,0.000999000999000999,16.5307819843292
"49","SPARC",4,9037,-0.0477317442716916,0.000999000999000999,16.5387029647827
"50","TGFB1",3,7967,-0.0315334558366552,0.000999000999000999,14.9181649684906
"51","TGFB2",3,7284,-0.0464914323509929,0.000999000999000999,16.9527010917664
"52","TGFB3",3,7223,-0.0386805218614217,0.000999000999000999,16.9034521579742
"53","THBS1",4,9068,-0.0426565775024864,0.000999000999000999,16.645406961441
"54","TIMP1",4,9092,-0.0467757369544134,0.000999000999000999,16.7220649719238
"55","TIMP3",3,7121,-0.033526087349152,0.000999000999000999,17.0952858924866
"56","SERPING1",4,9038,-0.0454697855702054,0.000999000999000999,16.578449010849
"57","TMSB4X",4,9068,-0.0405844388855137,0.000999000999000999,16.6838018894196
"58","CLEC3B",4,9021,-0.0446611772643701,0.000999000999000999,16.5835149288177
"59","VEGFA",4,9245,-0.0392985762345157,0.000999000999000999,17.4421989917755
"60","VEGFB",4,9088,-0.0445034337976481,0.000999000999000999,17.1730859279633
"61","VEGFC",4,9127,-0.0399645454835112,0.000999000999000999,17.0137500762939
"62","VWF",4,9153,-0.0498727688930813,0.000999000999000999,16.8008620738983
"63","PCYOX1L",4,9021,-0.0447638566474288,0.000999000999000999,16.8365058898926
"64","ACTN4",3,7674,-0.0311505026657446,0.000999000999000999,15.0717589855194
"65","FERMT3",4,9075,-0.0393507468144175,0.000999000999000999,16.9175591468811
"66","ACTN1",3,7727,-0.0325436604005454,0.000999000999000999,14.3987991809845
"67","CYP2A6",3,2146,-0.0109950673135263,0.261,14.5518548488617
"68","XDH",5,9206,-0.0322204749385489,0.000999000999000999,17.6840300559998
"69","NAT1",7,9383,-0.0235873230311278,0.001,16.3260858058929
"70","SGF29",5,9323,-0.020539699843989,0.002,16.2352800369263
"71","NT5C3B",4,8768,-0.0420065258062227,0.000999000999000999,15.9623939990997
"72","ADK",4,8305,-0.0232030277251064,0.005,15.3287518024445
"73","DCK",4,8402,-0.0215835497628454,0.009,15.1427278518677
"74","DPP4",6,9375,-0.021870637542035,0.001,14.7767910957336
"75","NT5C2",4,8768,-0.0417909409762511,0.000999000999000999,16.3644158840179
"76","NT5C",4,8768,-0.0419506541619972,0.000999000999000999,16.4226131439209
"77","APRT",4,8534,-0.0136970787514427,0.056,15.7900390625
"78","MYB",3,8151,-0.0339544013173825,0.000999000999000999,14.4131500720978
"79","PNP",4,8212,-0.0333082758013342,0.000999000999000999,14.7339851856232
