"","1","2","3","4","5","6"
"TRIM28",0,0,0,0,0,0
"TP53",0.0287917482870257,0.0287917482870257,0.0287917482870257,0.0287917482870257,0.0287945151401922,0.0287945151401922
"CCNB1",0.0575862634272179,0.0575862634272179,0.0575862634272179,0.0575862634272179,0.0575862634272179,0.0575862634272179
"CCNA2",0.0578987729799675,0.0578987729799675,0.0578987729799675,0.0578987729799675,0.0578987729799675,0.0579363593183122
"AURKB",0.0584674618735767,0.0584674618735767,0.0584674618735767,0.0584674618735767,0.0584674618735767,0.0585629380707588
"TPX2",0.0594546484612275,0.0594546484612275,0.0594546484612275,0.0594546484612275,0.0594344237365829,0.0594344237365829
"AURKA",0.0606240621932473,0.0606240621932473,0.0606240621932473,0.0606240621932473,0.0607832817773775,0.0607832817773775
"BIRC5",0.0619315493308076,0.0619315493308076,0.0619315493308076,0.0622648351018148,0.0622648351018148,0.0622648351018148
"EXO1",0.0628554011345152,0.0926785398421743,0.0926785398421743,0.0638550768286964,0.0638550768286964,0.0622648351018148
"UBA52",0.0936119004664556,0.125470464445909,0.125470464445909,0.0638550768286964,0.0638550768286964,0.0642874155503832
"RPS27A",0.12644542789725,0.125839327948681,0.127448855465774,0.0661641166676283,0.0661641166676283,0.0661641166676283
"CDC25C",0.157800066028789,0.126814291400021,0.127448855465774,0.0969213139989797,0.0704580646048106,0.0704580646048106
"PCNA",0.158476806186425,0.15816892953156,0.128755146979604,0.129757895304706,0.0731886862677386,0.0731886862677386
"RFC4",0.1596535650335,0.158365070352312,0.131399856117552,0.134051843241889,0.0799728197964809,0.0799432425984158
"PPP2CA",0.160120008645846,0.161017933183604,0.131729600191407,0.136782464904817,0.0889293544936816,0.0889293544936816
"UBB",0.160293819271376,0.161182792804711,0.136321620950326,0.143566598433559,0.119686551825033,0.0924331456658855
"JUN",0.16050819689116,0.161244566146983,0.143108600538286,0.152523133130759,0.123190342997237,0.0960304647047722
"PPP2R1A",0.161169652286909,0.161325803665309,0.146133213928469,0.152852877204614,0.156026924302963,0.100454395414157
"UBC",0.161259992559798,0.162114012603151,0.15538360557984,0.156453987567674,0.160109153335879,0.105203441548717
"MYC",0.161835235766561,0.163045296842161,0.187745639875973,0.160641103576276,0.164102915438849,0.109690044286592
"GTSE1",0.197814481375193,0.167313172410425,0.191949356580713,0.163467856764177,0.16890473939076,0.140467244511131
"CDC42",0.198112917398568,0.170909046725366,0.192356742626827,0.167570301640825,0.173391342128635,0.173391342128635
"PSMA5",0.199455114050984,0.171246159231114,0.196174260867183,0.172476909921896,0.174136759471871,0.174136759471871
"CHEK1",0.201048020739261,0.1729838064578,0.20067820114967,0.177265409391628,0.179215702048979,0.179215702048979
"PSMC4",0.202591458560963,0.173973710110577,0.205454758355098,0.182344351968736,0.184208979058525,0.184717796456956
"PSMD14",0.204345925805395,0.177260916378497,0.210648251731475,0.187609034646014,0.189974031101696,0.189974031101696
"CCNE2",0.205592683490989,0.178651468013673,0.21576273369989,0.193673148728777,0.193673148728777,0.203469255667139
"HSP90AA1",0.205927866082124,0.186103746476811,0.215981446889643,0.206323780464396,0.207479801876358,0.219227780111376
"PPP2CB",0.206335730055013,0.186473862067636,0.217877394331071,0.222299691612216,0.223238326320595,0.23623147412174
"RAC1",0.206456185066057,0.195889333730776,0.217991103337852,0.240242020330958,0.240242020330958,0.243834312756924
"CDK5",0.206779805174722,0.200266604652002,0.219665691105102,0.27551371274039,0.248180812960033,0.248180812960033
"PSMA4",0.208561266940082,0.200842566941552,0.225203969557724,0.282827145676106,0.255826470411144,0.255826470411144
"PPP2R1B",0.209226037511069,0.205602165869394,0.231569558960741,0.291446097468997,0.26300349041329,0.26300349041329
"EGFR",0.209684196960845,0.207192642151801,0.245376212108321,0.298623117471143,0.271298883328872,0.271298883328872
"VCAN",0.267268170793288,0.244567811352386,0.260415225931965,0.29873827891009,0.271414044767819,0.280235092376297
"CDK2",0.268757538524271,0.24660582027858,0.280618251375101,0.299004305588416,0.307356206447093,0.280350253815245
"ARF1",0.268816785002026,0.251510048793941,0.283404260869471,0.307622233125419,0.316292415494519,0.316292415494519
"CDK1",0.274969354346359,0.258033377187294,0.285276923851001,0.316585091667155,0.316585091667155,0.324924821707071
"PIK3CA",0.275165440933122,0.263747390433545,0.2922723820884,0.319106404228072,0.325217497879708,0.332896224015364
"PSMB4",0.277214347560693,0.270441424810589,0.292387543527347,0.319256096380577,0.327738810440624,0.34070927369307
"BUB1",0.281156471137647,0.273864739001131,0.300986270032392,0.321468226687939,0.33573675840527,0.349389791471631
"RPA3",0.281791750090166,0.274046503416587,0.309185479733712,0.324588652326161,0.335899365075058,0.360020043962894
"KIF11",0.286964924574913,0.289204762702881,0.317837113681527,0.333494176075511,0.343712414752764,0.370149692766639
"TXN",0.315757765273893,0.305045923797623,0.326953363291745,0.333986224059565,0.34603526754819,0.370468914595628
"RMI2",0.316879436107129,0.312355716200384,0.327155532069205,0.335858887041095,0.355004328659727,0.379999736678755
"PSMD10",0.31915499164608,0.320300034556897,0.329917506702404,0.344269270806085,0.358613732285618,0.391725922246158
"PSMD4",0.321346603852022,0.337522852655047,0.368701375913939,0.352959394242117,0.36943883063946,0.408780069516119
"RMI1",0.322635562610174,0.391460061612276,0.369247282681084,0.361199002548308,0.37974744142916,0.418476298480455
"RHOA",0.349520934851886,0.391659313809548,0.378228669781834,0.369855487968605,0.388958794757433,0.421290833193951
"BARD1",0.350984573211043,0.400446061390755,0.383086733971825,0.380947416674047,0.400800838061986,0.433011506413283
