"","gene.id","radius","size","observed.tau_b","p.Decay","time"
"1","FAM3C",4,9040,-0.0450880448723083,0.000999000999000999,23.0799520015717s
"2","VTI1B",4,9044,-0.0466048440592443,0.000999000999000999,23.1496820449829s
"3","MAGED2",4,9021,-0.0448668317655146,0.000999000999000999,17.1329429149628s
"4","CLU",3,7164,-0.0302596476390076,0.000999000999000999,17.3492469787598s
"5","SERPINA3",4,9021,-0.0451520544071689,0.000999000999000999,17.1076278686523s
"6","APOOL",4,9038,-0.0441460184598329,0.000999000999000999,17.190052986145s
"7","CTSW",3,6670,-0.0597358936385767,0.000999000999000999,16.8740251064301s
"8","CFD",4,9032,-0.0432502033101684,0.000999000999000999,16.7065300941467s
"9","ECM1",4,9021,-0.0449109451473032,0.000999000999000999,17.1845779418945s
"10","EGF",4,9282,-0.0387275561082429,0.000999000999000999,15.7044279575348s
"11","A2M",3,7053,-0.0314521337068602,0.000999000999000999,16.8625180721283s
"12","ALB",4,9129,-0.0444952967376588,0.000999000999000999,16.8915519714355s
"13","F5",3,6989,-0.0338907191984204,0.000999000999000999,16.8758499622345s
"14","F8",3,7002,-0.0315981610616986,0.000999000999000999,16.8975970745087s
"15","F13A1",4,9049,-0.0490784745812784,0.000999000999000999,22.8994898796082s
"16","FGB",3,7093,-0.0337055270516986,0.000999000999000999,23.3077590465546s
"17","ALDOA",4,9149,-0.0430302482547893,0.000999000999000999,17.141420841217s
"18","FGG",4,9169,-0.0485732517031466,0.000999000999000999,16.9180588722229s
"19","VEGFD",4,9146,-0.0387335330190561,0.000999000999000999,17.0067348480225s
"20","MMRN1",4,9021,-0.044660684006738,0.000999000999000999,16.8901269435883s
"21","FN1",4,9206,-0.0423416794711459,0.000999000999000999,17.3694319725037s
"22","GAS6",4,9039,-0.0420189480009503,0.000999000999000999,16.7351591587067s
"23","OLA1",4,9087,-0.0383120457828338,0.000999000999000999,16.6443018913269s
"24","HGF",3,7941,-0.0419184116020056,0.000999000999000999,17.3526329994202s
"25","IGF1",4,9222,-0.0307792656476026,0.000999000999000999,14.616977930069s
"26","IGF2",4,9099,-0.0399894811867627,0.000999000999000999,14.1728508472443s
"27","APP",4,9224,-0.0311686299460818,0.000999000999000999,17.288999080658s
"28","ISLR",4,9021,-0.0450875961970628,0.000999000999000999,16.5952458381653s
"29","ITIH3",4,9021,-0.044803459379107,0.000999000999000999,16.4708499908447s
"30","NHLRC2",4,9021,-0.0449731647678857,0.000999000999000999,16.5339868068695s
"31","LGALS3BP",4,9026,-0.0452764905881813,0.000999000999000999,16.8056631088257s
"32","ORM1",4,9021,-0.0448666342429095,0.000999000999000999,16.4226140975952s
"33","ORM2",4,9022,-0.0451089458482089,0.000999000999000999,16.4710760116577s
"34","SERPINE1",3,7784,-0.0464141038386729,0.000999000999000999,17.0911090373993s
"35","SCCPDH",4,9051,-0.0478721156890761,0.000999000999000999,16.616730928421s
"36","TEX264",4,9021,-0.044980736467745,0.000999000999000999,16.8991219997406s
"37","PDGFB",4,9219,-0.0333713141501468,0.000999000999000999,17.2525899410248s
"38","FAM49B",4,9051,-0.0443165111565481,0.000999000999000999,16.5882248878479s
"39","SERPINA1",4,9158,-0.0429866183021439,0.000999000999000999,17.1588790416718s
"40","SERPINF2",4,9021,-0.0442621120780144,0.000999000999000999,16.7365219593048s
"41","GTPBP2",4,9021,-0.0453098644768013,0.000999000999000999,16.4877579212189s
"42","TOR4A",4,9021,-0.0449019907892088,0.000999000999000999,16.4831120967865s
"43","SRGN",4,9021,-0.0451449435933881,0.000999000999000999,17.0635080337524s
"44","CDC37L1",4,9088,-0.0483638512576886,0.000999000999000999,14.3725020885468s
"45","PROS1",4,9076,-0.0449734209052997,0.000999000999000999,16.679123878479s
"46","QSOX1",4,9021,-0.0448735475340854,0.000999000999000999,16.5577437877655s
"47","RARRES2",4,9021,-0.0448653174255427,0.000999000999000999,16.5122690200806s
"48","SELENOP",4,9021,-0.0446835966289208,0.000999000999000999,16.5307819843292s
"49","SPARC",4,9037,-0.0477317442716916,0.000999000999000999,16.5387029647827s
"50","TGFB1",3,7967,-0.0315334558366552,0.000999000999000999,14.9181649684906s
"51","TGFB2",3,7284,-0.0464914323509929,0.000999000999000999,16.9527010917664s
"52","TGFB3",3,7223,-0.0386805218614217,0.000999000999000999,16.9034521579742s
